PG,SG,SF,PF,C,G,F,UTIL,Budget,FPPG
Tre Jones(25670651),Romeo Langford(25671145),Bruce Brown(25670678),Jaren Jackson Jr.(25670583),Anthony Davis(25670425),Cameron Payne(25670635),Eric Gordon(25670948),Clint Capela(25670638),49700.0,284.05
Russell Westbrook(25670594),Shake Milton(25670613),Caleb Martin(25670729),Jonathan Kuminga(25671117),Deandre Ayton(25670490),Tre Jones(25670651),Bruce Brown(25670678),Zach LaVine(25670555),49700.0,299.825
Devin Booker(25670431),Bradley Beal(25670463),Dean Wade(25671003),Jalen Johnson(25671157),Deandre Ayton(25670490),Zach LaVine(25670555),Bruce Brown(25670678),Andre Drummond(25671051),50000.0,290.925
Bruce Brown(25670678),Zach LaVine(25670555),Caleb Martin(25670729),Kyle Kuzma(25670482),Andre Drummond(25671051),Stephen Curry(25670422),Malik Beasley(25670799),Kevon Looney(25670920),49900.0,286.4
Bruce Brown(25670678),Shake Milton(25670613),Caleb Martin(25670729),Aaron Gordon(25670654),Anthony Davis(25670425),Zach LaVine(25670555),Jalen Johnson(25671157),Kevon Looney(25670920),49500.0,292.3
CJ McCollum(25670522),Shake Milton(25670613),Bruce Brown(25670678),Tobias Harris(25670564),Deandre Ayton(25670490),Jordan Clarkson(25670574),Eric Gordon(25670948),Andre Drummond(25671051),50000.0,287.7
Bruce Brown(25670678),Shake Milton(25670613),Caleb Martin(25670729),Jonathan Kuminga(25671117),Kevon Looney(25670920),Devin Booker(25670431),Jaylen Brown(25670485),Jordan Poole(25670695),49400.0,285.225
Bruce Brown(25670678),Franz Wagner(25670617),Scottie Barnes(25670578),Aaron Gordon(25670654),Andre Drummond(25671051),Russell Westbrook(25670594),Tobias Harris(25670564),Cameron Payne(25670635),50000.0,282.65
Bruce Brown(25670678),AJ Griffin(25670881),Romeo Langford(25671145),Tobias Harris(25670564),Joel Embiid(25670409),Russell Westbrook(25670594),Jonathan Kuminga(25671117),CJ McCollum(25670522),50000.0,279.225
Russell Westbrook(25670594),Bradley Beal(25670463),AJ Griffin(25670881),Aaron Gordon(25670654),Kevon Looney(25670920),Shake Milton(25670613),Bruce Brown(25670678),Jordan Clarkson(25670574),50000.0,289.875
Russell Westbrook(25670594),Jordan Clarkson(25670574),Bruce Brown(25670678),Jaren Jackson Jr.(25670583),Joel Embiid(25670409),Nickeil Alexander-Walker(25671249),AJ Griffin(25670881),Kevon Looney(25670920),50000.0,284.425
Bruce Brown(25670678),Shake Milton(25670613),Eric Gordon(25670948),Jaren Jackson Jr.(25670583),Anthony Davis(25670425),Cameron Payne(25670635),Malik Beasley(25670799),Kevon Looney(25670920),49800.0,289.25
Russell Westbrook(25670594),Shake Milton(25670613),Caleb Martin(25670729),Luke Kornet(25671094),Deandre Ayton(25670490),Devin Booker(25670431),Bruce Brown(25670678),Andre Drummond(25671051),50000.0,294.25
Shake Milton(25670613),Jordan Clarkson(25670574),Bruce Brown(25670678),Aaron Gordon(25670654),Anthony Davis(25670425),Nickeil Alexander-Walker(25671249),Romeo Langford(25671145),Zach LaVine(25670555),49900.0,290.375
Bruce Brown(25670678),Romeo Langford(25671145),Caleb Martin(25670729),Jonathan Kuminga(25671117),Joel Embiid(25670409),Devin Booker(25670431),Malik Beasley(25670799),Jordan Poole(25670695),49900.0,280.75
Derrick White(25670788),Shake Milton(25670613),Bruce Brown(25670678),Aaron Gordon(25670654),Deandre Ayton(25670490),Russell Westbrook(25670594),Eric Gordon(25670948),Zach LaVine(25670555),50000.0,298.15
Bruce Brown(25670678),Zach LaVine(25670555),Caleb Martin(25670729),Jalen Johnson(25671157),Clint Capela(25670638),Russell Westbrook(25670594),Jaren Jackson Jr.(25670583),Deandre Ayton(25670490),50000.0,296.3
Shake Milton(25670613),Bradley Beal(25670463),Bruce Brown(25670678),Jaren Jackson Jr.(25670583),Deandre Ayton(25670490),Jordan Poole(25670695),Eric Gordon(25670948),Kevon Looney(25670920),49900.0,292.15
Bruce Brown(25670678),Kelly Oubre Jr.(25670601),Damion Lee(25671009),Aaron Gordon(25670654),Anthony Davis(25670425),Shake Milton(25670613),Jonathan Kuminga(25671117),Clint Capela(25670638),49700.0,286.325
Bruce Brown(25670678),Derrick White(25670788),Damion Lee(25671009),Aaron Gordon(25670654),Jaren Jackson Jr.(25670583),Russell Westbrook(25670594),Malik Beasley(25670799),Devin Booker(25670431),49900.0,283.475
Russell Westbrook(25670594),Zach LaVine(25670555),Caleb Martin(25670729),Jonathan Kuminga(25671117),Anthony Davis(25670425),Tre Jones(25670651),Bruce Brown(25670678),Kevon Looney(25670920),49900.0,293.075
Bruce Brown(25670678),Zach LaVine(25670555),Caleb Martin(25670729),Aaron Gordon(25670654),Joel Embiid(25670409),Russell Westbrook(25670594),Jonathan Kuminga(25671117),Andre Drummond(25671051),49900.0,291.7
Russell Westbrook(25670594),Franz Wagner(25670617),Bruce Brown(25670678),Lauri Markkanen(25670492),Kevon Looney(25670920),Shake Milton(25670613),Malik Beasley(25670799),Cameron Payne(25670635),49700.0,283.95
Bruce Brown(25670678),Nickeil Alexander-Walker(25671249),Eric Gordon(25670948),Sam Hauser(25671057),Joel Embiid(25670409),Stephen Curry(25670422),Jaylen Brown(25670485),Andre Drummond(25671051),50000.0,281.0
Bruce Brown(25670678),Shake Milton(25670613),Tobias Harris(25670564),Aaron Gordon(25670654),Clint Capela(25670638),Nickeil Alexander-Walker(25671249),Damion Lee(25671009),Stephen Curry(25670422),49800.0,285.65
Bruce Brown(25670678),Shake Milton(25670613),Eric Gordon(25670948),Luke Kornet(25671094),Anthony Davis(25670425),Tre Jones(25670651),Malik Beasley(25670799),Deandre Ayton(25670490),49700.0,289.975
Russell Westbrook(25670594),AJ Griffin(25670881),Caleb Martin(25670729),Jaren Jackson Jr.(25670583),Clint Capela(25670638),Franz Wagner(25670617),Bruce Brown(25670678),Jordan Clarkson(25670574),50000.0,288.075
Bruce Brown(25670678),Franz Wagner(25670617),Dean Wade(25671003),Zion Williamson(25670448),Andre Drummond(25671051),Ja Morant(25670419),Eric Gordon(25670948),Tre Jones(25670651),50000.0,276.35
Bruce Brown(25670678),Derrick White(25670788),Caleb Martin(25670729),Jonathan Kuminga(25671117),Joel Embiid(25670409),Shake Milton(25670613),Eric Gordon(25670948),Deandre Ayton(25670490),49700.0,291.325
Russell Westbrook(25670594),Shake Milton(25670613),Bruce Brown(25670678),Jaren Jackson Jr.(25670583),Jonathan Kuminga(25671117),Kevin Porter Jr.(25670514),Malik Beasley(25670799),Zach LaVine(25670555),49700.0,292.05
Darius Garland(25670460),Malik Beasley(25670799),Bruce Brown(25670678),Aaron Gordon(25670654),Clint Capela(25670638),Russell Westbrook(25670594),Jaren Jackson Jr.(25670583),Kevon Looney(25670920),50000.0,285.092
Bruce Brown(25670678),Bradley Beal(25670463),Caleb Martin(25670729),Zion Williamson(25670448),Andre Drummond(25671051),Franz Wagner(25670617),Dean Wade(25671003),Zach LaVine(25670555),50000.0,286.6
Bruce Brown(25670678),Jordan Poole(25670695),Dean Wade(25671003),Aaron Gordon(25670654),Jaren Jackson Jr.(25670583),Russell Westbrook(25670594),Scottie Barnes(25670578),Zach LaVine(25670555),49900.0,286.7
Shake Milton(25670613),Franz Wagner(25670617),Bruce Brown(25670678),Tobias Harris(25670564),Deandre Ayton(25670490),Zach LaVine(25670555),Malik Beasley(25670799),Andre Drummond(25671051),50000.0,296.225
Bruce Brown(25670678),Jaylen Brown(25670485),Caleb Martin(25670729),Aaron Gordon(25670654),Clint Capela(25670638),CJ McCollum(25670522),Romeo Langford(25671145),Tobias Harris(25670564),49900.0,279.875
Russell Westbrook(25670594),Zach LaVine(25670555),Davon Reed(25671234),Aaron Gordon(25670654),Andre Drummond(25671051),Cameron Payne(25670635),Bruce Brown(25670678),Stephen Curry(25670422),50000.0,287.762
Bruce Brown(25670678),Bradley Beal(25670463),Malik Beasley(25670799),Aaron Gordon(25670654),Kevon Looney(25670920),Russell Westbrook(25670594),Jaren Jackson Jr.(25670583),Tre Jones(25670651),49800.0,286.95
Donovan Mitchell(25670466),AJ Griffin(25670881),Bruce Brown(25670678),Jaren Jackson Jr.(25670583),Kevon Looney(25670920),Shake Milton(25670613),Romeo Langford(25671145),Devin Booker(25670431),50000.0,283.775
Russell Westbrook(25670594),Bradley Beal(25670463),AJ Griffin(25670881),Jonathan Kuminga(25671117),Clint Capela(25670638),Shake Milton(25670613),Bruce Brown(25670678),Deandre Ayton(25670490),50000.0,295.925
Russell Westbrook(25670594),AJ Griffin(25670881),Bruce Brown(25670678),Jaren Jackson Jr.(25670583),Deandre Ayton(25670490),Shake Milton(25670613),Damion Lee(25671009),Zach LaVine(25670555),50000.0,298.475
Russell Westbrook(25670594),Shake Milton(25670613),Caleb Martin(25670729),Jonathan Kuminga(25671117),Kevon Looney(25670920),Tre Jones(25670651),Bruce Brown(25670678),Stephen Curry(25670422),49500.0,291.325
Shake Milton(25670613),Bradley Beal(25670463),Caleb Martin(25670729),Aaron Gordon(25670654),Clint Capela(25670638),Zach LaVine(25670555),Bruce Brown(25670678),Andre Drummond(25671051),49700.0,295.725
Bruce Brown(25670678),Derrick White(25670788),Caleb Martin(25670729),Aaron Gordon(25670654),Anthony Davis(25670425),Zach LaVine(25670555),Romeo Langford(25671145),Clint Capela(25670638),49900.0,289.4
Bruce Brown(25670678),Jaylen Brown(25670485),Dean Wade(25671003),Jaren Jackson Jr.(25670583),Clint Capela(25670638),Tre Jones(25670651),Malik Beasley(25670799),Deandre Ayton(25670490),50000.0,289.4
Bruce Brown(25670678),Zach LaVine(25670555),Damion Lee(25671009),Tobias Harris(25670564),Clint Capela(25670638),Darius Garland(25670460),Malik Beasley(25670799),Tre Jones(25670651),50000.0,283.092
Russell Westbrook(25670594),Kelly Oubre Jr.(25670601),Bruce Brown(25670678),Pascal Siakam(25670441),Deandre Ayton(25670490),Franz Wagner(25670617),Romeo Langford(25671145),Nickeil Alexander-Walker(25671249),49900.0,281.875
Bruce Brown(25670678),AJ Griffin(25670881),Caleb Martin(25670729),Aaron Gordon(25670654),Anthony Davis(25670425),Shake Milton(25670613),Jaren Jackson Jr.(25670583),Andre Drummond(25671051),49900.0,292.275
Bruce Brown(25670678),Franz Wagner(25670617),Caleb Martin(25670729),Jaren Jackson Jr.(25670583),Clint Capela(25670638),Russell Westbrook(25670594),Jaylen Brown(25670485),Andre Drummond(25671051),49900.0,289.525
CJ McCollum(25670522),Franz Wagner(25670617),Bruce Brown(25670678),Jonathan Kuminga(25671117),Clint Capela(25670638),Jordan Poole(25670695),Romeo Langford(25671145),Joel Embiid(25670409),50000.0,279.6
Kyle Lowry(25670591),Shake Milton(25670613),Bruce Brown(25670678),Jalen Johnson(25671157),Clint Capela(25670638),Devin Booker(25670431),Sam Hauser(25671057),Zach LaVine(25670555),49900.0,287.225
Russell Westbrook(25670594),Bradley Beal(25670463),Dean Wade(25671003),Jonathan Kuminga(25671117),Clint Capela(25670638),Zach LaVine(25670555),Bruce Brown(25670678),Deandre Ayton(25670490),49800.0,294.55
Bruce Brown(25670678),Zach LaVine(25670555),Malik Beasley(25670799),Aaron Gordon(25670654),Bam Adebayo(25670480),Russell Westbrook(25670594),Jaren Jackson Jr.(25670583),Andre Drummond(25671051),49800.0,286.4
Bruce Brown(25670678),Bradley Beal(25670463),Caleb Martin(25670729),Aaron Gordon(25670654),Anthony Davis(25670425),Romeo Langford(25671145),Damion Lee(25671009),Cameron Payne(25670635),50000.0,283.725
Bruce Brown(25670678),Bradley Beal(25670463),AJ Griffin(25670881),Aaron Gordon(25670654),Andre Drummond(25671051),Cameron Payne(25670635),Jaylen Brown(25670485),Jordan Clarkson(25670574),50000.0,282.35
Russell Westbrook(25670594),AJ Griffin(25670881),Bruce Brown(25670678),Jayson Tatum(25670415),Clint Capela(25670638),Shake Milton(25670613),Damion Lee(25671009),Tyus Jones(25670850),49800.0,284.675
Russell Westbrook(25670594),Shake Milton(25670613),Caleb Martin(25670729),Tari Eason(25670967),Anthony Davis(25670425),Nickeil Alexander-Walker(25671249),Bruce Brown(25670678),Zach LaVine(25670555),49900.0,293.275
Russell Westbrook(25670594),Shake Milton(25670613),Caleb Martin(25670729),Jonathan Kuminga(25671117),Clint Capela(25670638),Stephen Curry(25670422),Bruce Brown(25670678),Kevon Looney(25670920),49600.0,292.525
Shake Milton(25670613),AJ Griffin(25670881),Bruce Brown(25670678),Aaron Gordon(25670654),Deandre Ayton(25670490),Cameron Payne(25670635),Malik Beasley(25670799),Zach LaVine(25670555),49700.0,295.225
Bruce Brown(25670678),Bradley Beal(25670463),Dean Wade(25671003),Jaren Jackson Jr.(25670583),Clint Capela(25670638),Russell Westbrook(25670594),Malik Beasley(25670799),Shake Milton(25670613),50000.0,292.5
Russell Westbrook(25670594),Zach LaVine(25670555),Bruce Brown(25670678),Jaren Jackson Jr.(25670583),Clint Capela(25670638),Kevin Porter Jr.(25670514),AJ Griffin(25670881),Kevon Looney(25670920),49800.0,289.375
Russell Westbrook(25670594),Shake Milton(25670613),Bruce Brown(25670678),Aaron Gordon(25670654),Andre Drummond(25671051),Trae Young(25670435),AJ Griffin(25670881),Cameron Payne(25670635),49900.0,286.175
Kyle Lowry(25670591),Shake Milton(25670613),Bruce Brown(25670678),Jonathan Kuminga(25671117),Deandre Ayton(25670490),Russell Westbrook(25670594),Malik Beasley(25670799),Zach LaVine(25670555),49900.0,296.125
Russell Westbrook(25670594),Franz Wagner(25670617),Bruce Brown(25670678),Aaron Gordon(25670654),Clint Capela(25670638),Zach LaVine(25670555),Jaren Jackson Jr.(25670583),Andre Drummond(25671051),49800.0,292.725
Russell Westbrook(25670594),Shake Milton(25670613),Bruce Brown(25670678),Sam Hauser(25671057),Joel Embiid(25670409),Zach LaVine(25670555),Malik Beasley(25670799),Andre Drummond(25671051),50000.0,293.325
Bruce Brown(25670678),Shake Milton(25670613),Damion Lee(25671009),Kyle Kuzma(25670482),Jonathan Kuminga(25671117),Russell Westbrook(25670594),Malik Beasley(25670799),Devin Booker(25670431),49700.0,282.8
Russell Westbrook(25670594),Shake Milton(25670613),Bruce Brown(25670678),Aaron Gordon(25670654),Clint Capela(25670638),Jordan Poole(25670695),Malik Beasley(25670799),Zach LaVine(25670555),49900.0,294.275
Kyle Lowry(25670591),Shake Milton(25670613),Bruce Brown(25670678),Luke Kornet(25671094),Deandre Ayton(25670490),Russell Westbrook(25670594),Malik Beasley(25670799),Zach LaVine(25670555),50000.0,294.15
Russell Westbrook(25670594),Devin Booker(25670431),Caleb Martin(25670729),Jalen Johnson(25671157),Zach Collins(25670797),Tre Jones(25670651),Bruce Brown(25670678),Zach LaVine(25670555),50000.0,285.975
Bruce Brown(25670678),Franz Wagner(25670617),Jayson Tatum(25670415),Jonathan Kuminga(25671117),Deandre Ayton(25670490),Tre Jones(25670651),Malik Beasley(25670799),Kevon Looney(25670920),50000.0,285.525
Bruce Brown(25670678),Jaylen Brown(25670485),Tobias Harris(25670564),Jaren Jackson Jr.(25670583),Deandre Ayton(25670490),Russell Westbrook(25670594),Damion Lee(25671009),Nickeil Alexander-Walker(25671249),49800.0,285.4
Bruce Brown(25670678),Shake Milton(25670613),Damion Lee(25671009),Jaren Jackson Jr.(25670583),Deandre Ayton(25670490),Devin Booker(25670431),Eric Gordon(25670948),Kevon Looney(25670920),49700.0,290.75
